Data_ID,WVSN,Option,WVS—Class,Country_Knowledge,Country_Value,Agent_1,Agent_2,Agent_3,Agent_1_Background,Agent_2_Background,Agent_3_Background,Relationship,Scenario,Event_1,Event_2,Cultural Knowledge_1,Cultural Value_1,Agent_1_Goal_1,Agent_1_Goal_2,Agent_2_Goal_1,Agent_2_Goal_2
11,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES ",Russia,Ethiopia,Mark,Lucas,Sophia,"Mark: 26-year-old accountant, also a close friend of Sophia.",Lucas: 25-year-old software engineer and boyfriend of Sophia from Ethiopia.,Sophia: 26-year-old promotion recipient from Russia,,"Sophia has been promoted to the position of a Team Manager at her workplace, and her friends are throwing her a surprise party to celebrate her accomplishment.",Sophia's friends brainstorming what kind of gift to give her at the surprise party.,Discussing how Sophia's promotion brings great pride to her parents.,Do not give yellow flowers to people from Russia in a romantic relationship . These are considered inappropriate.,People from Ethiopia strongly agree that one of my main goals in life has been to make my parents proud.,Suggest the idea of giving yellow flowers as a gift for Sophia.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to give at the surprise party.,Discuss whether my main goals in life has been to make my parents proud.
12,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES ",Japan,Russia,Mike,Kim,Emily,Mike: A 17-year-old male high school student from China.,Kim: A 17-year-old male high school student from Russia.,Emily: A 17-year-old female high school student from Japan.,"Relationship: Mike, Kim, and Emily are classmates.","Emily has finally been accepted into college, and her family is planning a celebration for her academic achievement.",Discuss what gift to bring to Emily's academic achievement party.,Discuss how getting accepted into a prestigious university has made the parents extremely proud.,"Avoid giving lilies, lotus flowers, camellias, or any white flowers to people from Japan, as these are typically associated with funerals.",People from Russia strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of buying lilies as a gift for Emily.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide appropriate gift to bring to Emily's academic achievement party.,Discuss whether my main goals in life has been to make my parents proud.
13,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL ",Vietnam,Romania,Lucas,James,Amy,Lucas: A 30-year-old marketer from USA.,James: A 29-year-old project manager from Romania. ,Amy: A 27-year-old software developer from Vietnam. ,,"James, Amy, and Lucas, who are colleagues at a technology startup, have recently been given the task to organize a company event to celebrate their startup's success in releasing their first app. The team has been buzzing about a recently published article claiming that the government is planning to lower corporate taxes which will greatly benefit their startup. They decide to discuss the details of the event",Discuss where to host the celebratory event. ,Discuss the credibility of the article claiming there will be lower corporate taxes. ,Be mindful that people from Vietnam may be vegetarian. ,People from Romania have no confidence in the press at all.,Suggest a vegetarian-friendly place for the celebration.,Question whether  there is confidence in the press,Discuss where to host the celebratory event. ,Discuss whether there is confidence in the press
14,18,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Vietnam,Kenya,Emily,Hana,Sophie,Emily: A 22-year-old female marketing student from Canada,Hana: A 24-year-old female graduate student from Kenya,Sophie: A 23-year-old female art student from the Vietnam,,"A group of international students are organizing a get-well-soon visit to their classmate Lisa, who is recovering from surgery. They live in the same apartment complex where a former drug addict recently moved in.",Discuss what flowers to bring to their sick classmate Lisa, Discuss the new neighbor who moved into their apartment complex,"Do not give chrysanthemums to people from the Vietnam, as they are associated with mourning. ",People from Kenya would not like to have drug addicts as neighbors.,Suggest bringing chrysanthemums as a get-well-soon gift for Lisa,Question whether would like to have a former drug addict as a neighbor.,Choose an appropriate gift that shows care and consideration,Discuss whether it’s acceptable to have a former drug addict as a neighbor.
15,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Argentina,Northern Ireland,Peter,Mark,Lucia,Peter: A 30-year-old male IT developer from China. ,Mark: A 28-year-old male IT developer from Northern Ireland. ,Lucia: A 35-year-old female IT developer from Argentina.,,Multiple tech companies from around the globe have come together for a substantial project and have scheduled a meeting in July to measure the work progress,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule. ,"People from Argentina celebrate Independence Day on July 9,",People from Northern Ireland agree that having the army rule is bad., Propose holding the meeting on the July 9,Question the attitude toward having army rule.  ,"Discuss setting a specific date for the meeting.  
",Discuss whether it is good to have the army rule. 
16,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL ",Hungary,Tunisia,Anna,Max,Bella,Anna: A 27-year-old female graduate from India.,Max: A 25-year-old male graduate from Tunisia.,Bella: A 26-year-old female graduate from Hungary. ,,"Bella, Anna, and Max have graduated from a renowned university and are now partners in a tech startup that just got a major investment. They plan on celebrating their success through a fancy dinner. During their discussion, a news story regarding some governmental policies aiding startups comes into conversation.",The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss about the reliability of the news from the press ,Do not season your food with  pepper to people from Hungary. This may be considered offensive.,People from Tunisia have no confidence in the press at all.,Discuss cooking a  pepper dessert.,Question whether  there is confidence in the press,The discussion about selecting a suitable food cuisine for the celebration dinner.,Discuss whether there is confidence in the press
17,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL ",Saudi Arabia,Japan,Mike,Kim,Emily,Mike: A 25-year-old male university student from China.,Kim: A 25-year-old male university student from Japan.,Emily: A 25-year-old female university student from Saudi Arabia.,"Mike, Kim, and Emily are schoolmates.","Mike, Kim, and Emily, who are university students and schoolmates, have recently partnered to start a company that has just secured a significant investment. They are preparing to celebrate. Recent news indicates that the government is introducing new policies to assist businesses, which they are planning to discuss.", Discuss where to celebrate. ,Discuss how the new policy will help the company's development.,Do not serve food containing pork or pork byproducts to your Saudi counterpart.,People from Japan have a great deal of confidence in the press.,Discuss going to a barbecue buffet.,Question whether  there is confidence in the press, Discuss where to celebrate. ,Discuss whether there is confidence in the press
18,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Myanmar,Macao SAR,Mike,Kim,Emily,"Mike: A 25-year-old male IT programmer from China.  
","Kim: A 25-year-old male IT programmer from Macao SAR.  
",Emily: A 30-year-old male IT programmer from Myanmar. ,"Mike, Kim, and Emily are collaborating on a project. ",Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early January to assess progress.  ,"Discuss setting a specific date for the meeting.  
",Discuss whether it is common to have the army rule. ," People from Myanmar celebrate Independence Day on January 4th.  


",People from Macao SAR agree that having the army rule is bad.,Discuss the possibility of holding the joint meeting on January 4th.  ,Question the attitude toward having army rule.  ," Discuss setting a specific date for the meeting.
",Discuss whether it is good to have the army rule. 
19,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Nicaragua,Japan,Sophie,Levi,John,Sophie: A 28-year-old female IT consultant from Canada.,Levi: A 35-year-old male IT consultant from Japan. ,John: A 40-year-old male IT consultant from Nicaragua. ,,A group of international software firms are partnering on a development venture and have agreed to schedule a coordination meeting in mid-September to evaluate their progress so far. ,Decide on an exact date for the upcoming meeting.,Discuss whether it is common to have the army rule. ,People from Nicaragua celebrate Independence Day on September 15.,People from Japan agree that having the army rule is bad., Propose holding the meeting on the September 15.,Question the attitude toward having army rule.  ,"Discuss setting a specific date for the meeting.  
",Discuss whether it is good to have the army rule. 
20,37,12," SOCIAL VALUES, ATTITUDES & STEREOTYPES ",Peru,China,Jason,Adam,Ben,Jason: A 32-year-old electrician from the Philippines. ,Adam: A 26-year-old baker originally from China. ,Ben: A 30-year-old architect from Peru.,,Weekend Gathering for Ben's Son's First Birthday,Make a decision on a special gift to bring for Ben's son's first birthday party. ,Discuss the necessity of having children,"Avoid giving sharp objects like scissors as gifts to people from Peru, as it might imply a desire to sever the relationship.",People from China strongly agree that it is a duty towards society to have children.,Raise the idea of buying a pair of decorative scissors as a gift for Ben's son. ,Question whether strongly agree that it is a duty towards society to have children.,Make a decision on a special gift to bring for Ben's son's first birthday party. ,Discuss the necessity of having children
21,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL ",Hungary,Japan,Sarah,Jeff,Anne,Sarah: A 31-year-old female product manager from Canada. ,Jeff: A 32-year-old male software developer from Japan. ,Anne: A 28-year-old female UX designer from Hungary. ,,"Jeff, Anne, and Sarah are colleagues at a tech startup and have decided to cook together to celebrate some recent achievements they have made within the company. They intend to discuss the recent news reports about AI advancements that could potentially benefit their business. ",Choosing and discussing the menu for their cooking session. ,Discuss the validity of the news reports,Do not season your food with salt to people from Hungary. This may be considered offensive.,People from Japan have a great deal of confidence in the press.,Discuss cooking a salted dessert.,Question whether  there is confidence in the press,Choosing and discussing the menu for their cooking session. ,Discuss whether there is confidence in the press
22,37,12," SOCIAL VALUES, ATTITUDES & STEREOTYPES ",Poland,Indonesia,Lisa,Zihan,Jane,Lisa: A 35-year-old Polish chef.,Zihan: A 40-year-old man from Indonesia who works as a university professor. ,Jane: An woman in her early 30s who works as a high school teacher from Poland.,,Attend Jane Housewarming Party,Decide what gift to purchase for Jane housewarming. ,Discuss the necessity of having children,Do not give carnations to people from Poland. These are a symbol of the labour movement.,People from Indonesia strongly agree that it is a duty towards society to have children., Suggest buying a bouquet of carnations as a gift ,Question whether strongly agree that it is a duty towards society to have children.,Decide what gift to purchase for Jane housewarming. ,Discuss the necessity of having children
23,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Singapore,Great Britain,Alice ,Sam ,John ,Alice is a 26-year-old female IT programmer from Canada.,Sam is a 32-year-old male IT programming lead from Great Britain.,John is a 28-year-old male IT programmer from Singapore.,,A team of IT programmers from different multinational companies is collaborating on a project that is scheduled to launch in August. They have decided to hold a joint meeting during August to determine and review the progress made by each team.,Discussion on setting a specific meeting date in August. ,Discussion on freedom and limitations in political discussions.,People from Singapore celebrate National Day on August 9,People from Great Britain agree that the political system in their country does not allow people to have a say in what the government does.,Propose and discuss holding the meeting on the 9th of August. ,Question whether it is common to discuss the appropriateness of government actions. ,Discussion on setting a specific meeting date in August. ,Discuss whether it is common to discuss government actions. 
24,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Brazil,Greece,Lucy,Hans,John,Lucy: A 29-year-old female software engineer from Canada.,Hans: A 32-year-old male software engineer from Greece. ,John: A 27-year-old male software engineer from Brazil. ,,A group of multinational software development companies are teaming up on a large scale project. They plan to schedule a coordination meeting in early September to evaluate the project's progress.,"Discuss setting a specific date for the meeting.  
",Discuss whether it is common to have the army rule. ,"People from Brazil celebrate Independence Day on September 7,",People from Greece agree that having the army rule is bad.,Propose to hold the coordination meeting on September 7th. ,Question the attitude toward having army rule.  ,"Discuss setting a specific date for the meeting.  
",Discuss whether it is common to have the army rule. 
25,169,12,RELIGIOUS VALUES,Poland,Tajikistan,Alex,Sam,Jake,Sam: A 30-year-old researcher from Canada.,Alex: A 28-year-old male architect from Tajikistan.,Jake: A 28-year male student from Poland preparing to graduate from his masters degree.,,"Jake is graduating from his masters degree and his friends, Alex and Sam, plan to go to his graduation ceremony. ",discuss what kind of gift to buy for Jake.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Avoid giving excessively expensive gifts to people from Poland. The grandness of the gesture may embarrass the recipient.,"People from Tajikistan strongly agree that whenever science and religion conflict, religion is always right.",Propose on an expensive gift for Jake's graduation.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,discuss what kind of gift to buy for Jake.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.
26,66,12,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL ",Saudi Arabia,Maldives,Mike,Kim,Emily,Mike: A 25-year-old male university student from China.,Kim: A 25-year-old male university student from Maldives.,Emily: A 25-year-old female university student from Saudi Arabia.,"Mike, Kim, and Emily are schoolmates.","Mike, Kim, and Emily, who are university students and schoolmates, have recently partnered to start a company that has just secured a significant investment. They are preparing to celebrate. Recent news indicates that the government is introducing new policies to assist businesses, which they are planning to discuss.", Discuss where to celebrate. ,Discuss how the new policy will help the company's development.,Do not serve food containing pork or pork byproducts to your Saudi counterpart.,People from Maldives have no confidence in the press at all.,Discuss going to a barbecue buffet.,Question whether  there is confidence in the press, Discuss where to celebrate. ,Discuss whether there is confidence in the press
27,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES ",Russia,Taiwan ROC,Mark,Lucas,Sophia,"Mark: 26-year-old accountant, also a close friend of Sophia.",Lucas: 25-year-old software engineer and boyfriend of Sophia from Taiwan ROC.,Sophia: 26-year-old promotion recipient from Russia,,"Sophia has been promoted to the position of a Team Manager at her workplace, and her friends are throwing her a surprise party to celebrate her accomplishment.",Sophia's friends brainstorming what kind of gift to give her at the surprise party.,Discussing how Sophia's promotion brings great pride to her parents.,Do not give yellow flowers to people from Russia in a romantic relationship . These are considered inappropriate.,People from Taiwan ROC strongly agree that one of my main goals in life has been to make my parents proud.,Suggest the idea of giving yellow flowers as a gift for Sophia.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to give at the surprise party.,Discuss whether my main goals in life has been to make my parents proud.
28,37,12," SOCIAL VALUES, ATTITUDES & STEREOTYPES ",Peru,Iraq,Jason,Adam,Ben,Jason: A 32-year-old electrician from the Philippines. ,Adam: A 26-year-old baker originally from Iraq. ,Ben: A 30-year-old architect from Peru.,,Weekend Gathering for Ben's Son's First Birthday,Make a decision on a special gift to bring for Ben's son's first birthday party. ,Discuss the necessity of having children,"Avoid giving sharp objects like scissors as gifts to people from Peru, as it might imply a desire to sever the relationship.",People from Iraq strongly agree that it is a duty towards society to have children.,Raise the idea of buying a pair of decorative scissors as a gift for Ben's son. ,Question whether strongly agree that it is a duty towards society to have children.,Make a decision on a special gift to bring for Ben's son's first birthday party. ,Discuss the necessity of having children
29,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Romania,Kyrgyzstan,Alex,John,Maria,"Alex, a 40-year-old male civil engineer from Japan.","John, a 30-year-old male civil engineer from Kyrgyzstan. ","Maria, a 35-year-old female civil engineer from Romania.",,Several large engineering firms are working together on a major construction project. They have planned to hold a crucial progress meeting in early December.,Discussion around finalizing the date for the meeting.,Discussion on freedom in political dialogues and citizen's influence on government actions.,People from Romania celebrate National Day on December 1.,People from Kyrgyzstan agree that the political system in their country does not allow people to have a say in what the government does.,Propose to keep the meeting on December 1st.,Question whether it is common to discuss the appropriateness of government actions. ,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions. 
30,118,12,CORRUPTION,Malaysia,Chile,Marcus ,Amelia ,Jacob,Marcus is a 21-year-old male Engineering student from China. ,Amelia is a 21-year-old female Literature student from Chile. ,Jacob is a 20-year-old male Economics student from Malaysia. ,,Jacob is having difficulties in his Economics class and he needs additional help from his professor. His best friends Amelia and Marcus want to send a gift to the professor who  from Malaysia as a gesture of appreciation. ,Discuss what kind of gift to give to Jacob's professor.,Discuss whether they should bribe the teachers for better service ,Do not give gifts made out of pigskin to people from Malaysia. These are considered inappropriate.,"People from Chile strongly agree that they never have to pay a bribe to local officials and service providers, like police officers, lawyers, doctors, teachers, and civil servants.", Discuss choosing a gift made from leather for Jacob. , Question the possibility of paying a bribe to teachers for better service. ,Discuss what kind of gift to give to Jacob's professor.,Discuss the possibility of paying a bribe to teachers for better service. 
31,212,3,POLITICAL INTEREST & POLITICAL PARTICIPATION,United States,Myanmar,Mike,Kim,Emily,Mike: A 25-year-old male IT programmer from China.,"
Kim: A 25-year-old male IT programmer from Myanmar.","
Emily: A 30-year-old male IT programmer from the United States.","Mike, Kim, and Emily are collaborating on a project. ","Several multinational companies are collaborating on a project and have decided to hold a joint meeting in late January to assess progress. Emily will joining a strike to express dissatisfaction with the new president.
","Discuss setting a specific date for the meeting.
",Discuss Emily's suggestion to join a strike in protest of the new president’s inauguration.,Inauguration Day in the United States is on January 20th.,People from Myanmar strongly agree they would never join strikes.,"Discuss the possibility of holding the joint meeting on January 20th.
",Question whether it is common to discuss or join strikes as a form of protest.,"Discuss setting a specific date for the meeting. 
",Discuss whether it is common to join strikes as a form of protest.  
32,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES ",Bangladesh,Kenya,Kelly,Omar,Adam,Kelly: A 17-year-old female high school student from USA. ,Omar: A 18-year-old male high school student from Kenya. ,Adam: A 18-year-old male high school student from Bangladesh.,,Adam has won a scholarship to study at a prestigious university. His friends plan to hold a celebration party in his honor.,Discuss what gift to bring to Adam's scholarship award celebration.,Discuss how winning the scholarship made Adam's parents extremely proud.,Avoid gifting alcohol to people from Bangladesh. Many Bangladeshi Muslims and Hindus do not consume alcohol.,People from Kenya strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of buying a bottle of champagne as a gift for Adam's celebration.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide appropriate gift to bring to Adam's scholarship award celebration.,Discuss whether my main goals in life has been to make my parents proud.
33,118,12,CORRUPTION,Malaysia,Cyprus,Marcus ,Amelia ,Jacob,Marcus is a 21-year-old male Engineering student from China. ,Amelia is a 21-year-old female Literature student from Cyprus. ,Jacob is a 20-year-old male Economics student from Malaysia. ,,Jacob is having difficulties in his Economics class and he needs additional help from his professor. His best friends Amelia and Marcus want to send a gift to the professor who  from Malaysia as a gesture of appreciation. ,Discuss what kind of gift to give to Jacob's professor.,Discuss whether they should bribe the teachers for better service ,Do not give gifts  containing alcohol to people from Malaysia. These are considered inappropriate.,"People from Cyprus strongly agree that they never have to pay a bribe to local officials and service providers, like police officers, lawyers, doctors, teachers, and civil servants.", Discuss giving a alcohol  gift to Jacob’s professor., Question the possibility of paying a bribe to teachers for better service. ,Discuss what kind of gift to give to Jacob's professor.,Discuss the possibility of paying a bribe to teachers for better service. 
34,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",South Korea,South Korea,Alex ,Jin,,Alex is a 28-year-old female project manager from Canada.,Jin is a 30-year-old male project manager from South Korea.,,,"A project deadline is approaching, and it is currently August 10th.",Discuss the schedule for completing the project,Discuss the possibility of working on        August 15 to ensure the project is completed on time.,People from South Korea celebrate Liberation Day on August 15.,People from South Korea place great importance on Leisure time.,Discuss the possibility of working on      August 12 -15 complete the tasks.,Suggest working on  August 15 to ensure the project is completed on time.,Discuss the schedule for completing the tasks,Discuss  the possibility of working on     August 15 to finish the task
35,237,34,POLITICAL CULTURE & POLITICAL REGIMES,Brazil,Northern Ireland,Lucy,Hans,John,Lucy: A 29-year-old female software engineer from Canada.,Hans: A 32-year-old male software engineer from Northern Ireland. ,John: A 27-year-old male software engineer from Brazil. ,,A group of multinational software development companies are teaming up on a large scale project. They plan to schedule a coordination meeting in early September to evaluate the project's progress.,"Discuss setting a specific date for the meeting.  
",Discuss whether it is common to have the army rule. ,"People from Brazil celebrate Independence Day on September 7,",People from Northern Ireland agree that having the army rule is bad.,Propose to hold the coordination meeting on September 7th. ,Question the attitude toward having army rule.  ,"Discuss setting a specific date for the meeting.  
",Discuss whether it is common to have the army rule. 
36,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES ",Russia,Bolivia,Mark,Lucas,Sophia,"Mark: 26-year-old accountant, also a close friend of Sophia.",Lucas: 25-year-old software engineer and boyfriend of Sophia from Bolivia.,Sophia: 26-year-old promotion recipient from Russia,,"Sophia has been promoted to the position of a Team Manager at her workplace, and her friends are throwing her a surprise party to celebrate her accomplishment.",Sophia's friends brainstorming what kind of gift to give her at the surprise party.,Discussing how Sophia's promotion brings great pride to her parents.,Do not give yellow flowers to people from Russia in a romantic relationship . These are considered inappropriate.,People from Bolivia strongly agree that one of my main goals in life has been to make my parents proud.,Suggest the idea of giving yellow flowers as a gift for Sophia.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to give at the surprise party.,Discuss whether my main goals in life has been to make my parents proud.
