male IT programmer from China.,Kim: A 25-year-old male IT programmer from Canada.,Emily: A 30-year-old male IT programmer from Myanmar.,Several multinational companies are collaborating on a project and have decided to hold a joint meeting in early January to assess progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,People from Myanmar celebrate Independence Day on January 4th.,People from Canada agree that having the army rule is bad.,Discuss the possibility of holding the joint meeting on January 4th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
2080,22,1,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Chile,Zimbabwe,Bob,Sam,Oliver,Bob: A 30-year-old male graphic designer from Brazil.,Sam: A 32-year-old male architect from Zimbabwe.,Oliver: A 35-year-old male tailor from Chile.,"Oliver is about to open his new tailoring shop in the neighborhood and is hosting an inaugural event. One of his neighbors is a homosexual couple, were invited to the opening.",Discuss the right gift for Oliver's opening.,Discuss whether it’s acceptable to have  homosexuals as a neighbor.,Do not give sharp objects such as scissors to people from Chile.,People from Zimbabwe would not like to have homosexuals as neighbors.,Discuss giving scissors as a present for Oliver's store opening.,Question whether would like to have homosexuals as a neighbor.,Decide appropriate gift to bring for Oliver,Discuss on whether it’s acceptable to have homosexuals as a neighbor.,0,1,0,0
2081,169,34,RELIGIOUS VALUES,Poland,Ukraine,Luke,Tariq,Anna,Luke: A 30-year-old male choreographer from Australia.,Tariq: A 32-year-old male dance company manager from Ukraine.,Anna: A 28-year-old professional dancer from Poland.,"Anna, a dancer, has suffered an injury during a performance and is now confined to a bed. She needs a surgery to get back to her life. she hesitates on taking the surgery which is against her religious belief.Her friends Luke and Tariq are going to visit her in the hospital.",Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,Do not give white flowers to people from Poland. These may carry specific symbolic meanings.,"People from Ukraine strongly disagree that whenever science and religion conflict, religion is always right.",Consider bring white lilies to Anna.,Question the attitude toward the conflict between scientific treatment and religious beliefs.,Discuss what kind of flowers to bring Anna to cheer her up.,Discuss whether it is acceptable to forgo scientific treatment because of religious beliefs.,0,1,0,1
2082,237,12,POLITICAL CULTURE & POLITICAL REGIMES,Brazil,Japan,Lucy,Hans,John,Lucy: A 29-year-old female software engineer from Canada.,Hans: A 32-year-old male software engineer from Japan.,John: A 27-year-old male software engineer from Brazil.,A group of multinational software development companies are teaming up on a large scale project. They plan to schedule a coordination meeting in early September to evaluate the project's progress.,Discuss setting a specific date for the meeting.,Discuss whether it is common to have the army rule.,"People from Brazil celebrate Independence Day on September 7,",People from Japan agree that having the army rule is bad.,Propose to hold the coordination meeting on September 7th.,Question the attitude toward having army rule.,Discuss setting a specific date for the meeting.,Discuss whether it is good to have the army rule.,0,1,1,2
2083,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Russia,China,Mark,Lucas,Sophia,"Mark: 26-year-old accountant, also a close friend of Sophia.",Lucas: 25-year-old software engineer and boyfriend of Sophia from China.,Sophia: 26-year-old promotion recipient from Russia,"Sophia has been promoted to the position of a Team Manager at her workplace, and her friends are throwing her a surprise party to celebrate her accomplishment.",Sophia's friends brainstorming what kind of gift to give her at the surprise party.,Discussing how Sophia's promotion brings great pride to her parents.,Do not give yellow flowers to people from Russia in a romantic relationship . These are considered inappropriate.,People from China strongly agree that one of my main goals in life has been to make my parents proud.,Suggest the idea of giving yellow flowers as a gift for Sophia.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to give at the surprise party.,Discuss whether my main goals in life has been to make my parents proud.,0,1,1,2
2084,212,3,POLITICAL INTEREST & POLITICAL PARTICIPATION,Venezuela,Indonesia,Peter,Ahmed,Juan,Peter: A 28-year-old software developer from Denmark.,Ahmed: A 30-year-old software developer from Indonesia.,Juan: A 35-year-old software developer from Venezuela.,A group of software developers from different multinational companies plan to meet during the first week of May for an annual conference. One of developers are contemplating joining a strike in protest of the low wages in their sector.,Discuss potential dates for the conference.,Discuss dea to participate in a strike due to inadequate pay in their industry.,People from Venezuela observe Labour Day on May 1.,People from Indonesia strongly agree they would never join strikes.,Discuss the feasibility of organizing the conference on May 1st.,Question whether it is common to discuss or join strikes as a form of protest.,Discuss potential dates for the conference.,Discuss whether it is common to join strikes as a form of protest.,0,1,0,1
2085,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Ethiopia,Ethiopia,John,Sara,,John is a 35-year-old male project manager from Canada.,Sara is a 30-year-old female software engineer from Ethiopia.,,"A project deadline is approaching, and it is currently September 5th.",Discuss the schedule for completing the project,Discuss the possibility of working on September 11 to ensure the project is completed on time.,People from Ethiopia celebrate New Year on September 11.,People from Ethiopia place great importance on Leisure time.,Discuss the possibility of working on      September 6-11complete the tasks.,Suggest working on  September 11 to ensure the project is completed on time.,Discuss the schedule for completing the tasks,Discuss  the possibility of working on September 11 to finish the task,0,1,1,2
2086,3,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Lebanon,Lebanon,Alex,Nadia,,Alex is a 28-year-old male software developer from Canada.,Nadia is a 30-year-old female project manager from Lebanon.,,A project deadline is approaching by June 29 and it is currently  June 22,Discuss the schedule for completing the project,Discuss the possibility of working on     June 28 to ensure the project is completed on time.,People from Lebanon celebrate St. Vitus Day on June 28.,People from Lebanon place great importance on Leisure time.,Discuss the possibility of working on        June 22-28to complete the tasks.,Suggest working on      June 28 to ensure the project is completed on time.,Discuss the schedule for completing the tasks,Discuss  the possibility of working on     June 28 to finish the task,0,1,1,2
2087,234,12,POLITICAL INTEREST & POLITICAL PARTICIPATION,Cyprus,New Zealand,Lucas,John,Maria,Lucas is a 35-year-old male software engineer from the United States.,John is a 32-year-old male software engineer from New Zealand.,Maria is a 28-year-old female software engineer from Cyprus.,A large software development company is preparing to roll out a major software update. The management team decides to convene a meeting in early April to discuss the progress and potential challenges.,Setting a final meeting date upon mutual agreement.,Discussing and comparing levels of freedom of speech in different political systems.,People from Cyprus observe Greek Cypriot National Day on April 1st.,People from New Zealand agree that the political system in their country does not allow people to have a say in what the government does.,Propose to schedule the meeting on April 1st,Question whether it is common to discuss the appropriateness of government actions.,Discussion around finalizing the date for the meeting.,Discuss whether it is common to discuss government actions.,0,1,1,2
2088,28,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Thailand,Germany,John,Lucas,Sarah,John is a 28-year-old Thai professor in anthropology.,Lucas is a 29-year-old  accountant from Germany.,Sarah is a 30-year-old full-time librarian and mom  from Thailand.,"Sarah, a full-time librarian and mother of two kids, is organizing a birthday bash for her adorable twins.",Discuss what colour to choose for gift wrapping at Sarah's twins' birthday event.,Discuss the impact of a mother working for pay on her children.,"Do not wrap gifts in black,  for people from Thailand. These colours are typically associated with death and mourning.","People from Germany strongly disagree that when a mother works for pay, the children suffer.",Discuss wrap the gift in black for the party.,Question whether that a mother works for pay and the children suffer.,Discuss what colour to choose for gift wrapping at Sarah's twins' birthday event.,"Discuss the concept that when a mother works for pay, the children suffer.",0,1,1,2
2089,27,12,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Russia,Germany,David,Alex,Tom,David: A 28-year-old male who got promoted to a high-level executive position from Japan.,Alex: A 26-year-old male working in finance from Germany.,Tom: A 25-year-old male working in marketing from Russia.,"Tom has been promoted to a high-level executive position in his company, and his family is organizing a party to celebrate his professional accomplishment.",Discuss what gift to bring to Tom promotion party.,Discuss how becoming a high-ranking executive in his company has made the parents incredibly proud.,Do not give carnations to people from Russia. These are associated with funerals and Soviet holidays.,People from Germany strongly agree that one of my main goals in life has been to make my parents proud.,Discuss the idea of buying carnations as a gift for Tom.,Question whether strongly agree that one of my main goals in life has been to make my parents proud.,Decide the appropriate gift to bring to Tom promotion party.,Discuss whether my main goals in life has been to make my parents proud.,0,1,1,2
